Set,Card Name,Rarity,Text,Mana Cost,Type,Power,Toughness,CMC,Standard
Duel Decks: Ajani vs. Nicol Bolas,Recumbent Bliss,Common,"Enchant creature
Enchanted creature can't attack or block.
At the beginning of your upkeep, you may gain 1 life.",{2}{W},Enchantment,,,3.0,No
Duel Decks: Ajani vs. Nicol Bolas,Searing Meditation,Rare,"Whenever you gain life, you may pay {2}. If you do, Searing Meditation deals 2 damage to target creature or player.",{1}{R}{W},Enchantment,,,3.0,No
Duel Decks: Ajani vs. Nicol Bolas,Behemoth Sledge,Uncommon,"Equipped creature gets +2/+2 and has trample and lifelink.
Equip {3}",{1}{G}{W},Artifact,,,3.0,No
Duel Decks: Ajani vs. Nicol Bolas,Naya Charm,Uncommon,"Choose one â€”
â€¢ Naya Charm deals 3 damage to target creature.
â€¢ Return target card from a graveyard to its owner's hand.
â€¢ Tap all creatures target player controls.",{R}{G}{W},Instant,,,3.0,No
Duel Decks: Ajani vs. Nicol Bolas,Titanic Ultimatum,Rare,"Until end of turn, creatures you control get +5/+5 and gain first strike, trample, and lifelink.",{R}{R}{G}{G}{G}{W}{W},Sorcery,,,7.0,No
Duel Decks: Ajani vs. Nicol Bolas,Sapseep Forest,Uncommon,"({T}: Add {G} to your mana pool.)
Sapseep Forest enters the battlefield tapped.
{G}, {T}: You gain 1 life. Activate this ability only if you control two or more green permanents.",,Land,,,0.0,No
Duel Decks: Ajani vs. Nicol Bolas,"Nicol Bolas, Planeswalker",Mythic Rare,"+3: Destroy target noncreature permanent.
âˆ’2: Gain control of target creature.
âˆ’9: Nicol Bolas, Planeswalker deals 7 damage to target player. That player discards seven cards, then sacrifices seven permanents.",{4}{U}{B}{B}{R},Planeswalker,,,8.0,No
Duel Decks: Ajani vs. Nicol Bolas,Surveilling Sprite,Common,"Flying
When Surveilling Sprite dies, you may draw a card.",{1}{U},Creature,1,1,2.0,No
Duel Decks: Ajani vs. Nicol Bolas,Slavering Nulls,Uncommon,"Whenever Slavering Nulls deals combat damage to a player, if you control a Swamp, you may have that player discard a card.",{1}{R},Creature,2,1,2.0,No
Duel Decks: Ajani vs. Nicol Bolas,Brackwater Elemental,Common,"When Brackwater Elemental attacks or blocks, sacrifice it at the beginning of the next end step.
Unearth {2}{U} ({2}{U}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",{2}{U},Creature,4,4,3.0,No
Duel Decks: Ajani vs. Nicol Bolas,Morgue Toad,Common,Sacrifice Morgue Toad: Add {U}{R} to your mana pool.,{2}{B},Creature,2,2,3.0,No
Duel Decks: Ajani vs. Nicol Bolas,Hellfire Mongrel,Uncommon,"At the beginning of each opponent's upkeep, if that player has two or fewer cards in hand, Hellfire Mongrel deals 2 damage to him or her.",{2}{R},Creature,2,2,3.0,No
Duel Decks: Ajani vs. Nicol Bolas,Dimir Cutpurse,Rare,"Whenever Dimir Cutpurse deals combat damage to a player, that player discards a card and you draw a card.",{1}{U}{B},Creature,2,2,3.0,No
Duel Decks: Ajani vs. Nicol Bolas,Fire-Field Ogre,Uncommon,"First strike
Unearth {U}{B}{R} ({U}{B}{R}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",{1}{U}{B}{R},Creature,4,2,4.0,No
Duel Decks: Ajani vs. Nicol Bolas,Jhessian Zombies,Common,"Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)
Islandcycling {2}, swampcycling {2} ({2}, Discard this card: Search your library for an Island or Swamp card, reveal it, and put it into your hand. Then shuffle your library.)",{4}{U}{B},Creature,2,4,6.0,No
Duel Decks: Ajani vs. Nicol Bolas,Igneous Pouncer,Common,"Haste
Swampcycling {2}, mountaincycling {2} ({2}, Discard this card: Search your library for a Swamp or Mountain card, reveal it, and put it into your hand. Then shuffle your library.)",{4}{B}{R},Creature,5,1,6.0,No
Duel Decks: Ajani vs. Nicol Bolas,Countersquall,Uncommon,Counter target noncreature spell. Its controller loses 2 life.,{U}{B},Instant,,,2.0,No
Duel Decks: Ajani vs. Nicol Bolas,Obelisk of Grixis,Common,"{T}: Add {U}, {B}, or {R} to your mana pool.",{3},Artifact,,,3.0,No
Duel Decks: Ajani vs. Nicol Bolas,Recoil,Common,Return target permanent to its owner's hand. Then that player discards a card.,{1}{U}{B},Instant,,,3.0,No
Duel Decks: Ajani vs. Nicol Bolas,Undermine,Rare,Counter target spell. Its controller loses 3 life.,{U}{U}{B},Instant,,,3.0,No
Duel Decks: Ajani vs. Nicol Bolas,Grixis Charm,Uncommon,"Choose one â€”
â€¢ Return target permanent to its owner's hand.
â€¢ Target creature gets -4/-4 until end of turn.
â€¢ Creatures you control get +2/+0 until end of turn.",{U}{B}{R},Instant,,,3.0,No
Duel Decks: Ajani vs. Nicol Bolas,Agonizing Demise,Common,"Kicker {1}{R} (You may pay an additional {1}{R} as you cast this spell.)
Destroy target nonblack creature. It can't be regenerated. If Agonizing Demise was kicked, it deals damage equal to that creature's power to the creature's controller.",{3}{B},Instant,,,4.0,No
Duel Decks: Ajani vs. Nicol Bolas,Elder Mastery,Uncommon,"Enchant creature
Enchanted creature gets +3/+3 and has flying.
Whenever enchanted creature deals damage to a player, that player discards two cards.",{3}{U}{B}{R},Enchantment,,,6.0,No
Duel Decks: Ajani vs. Nicol Bolas,Spite,Uncommon,Counter target noncreature spell.,{3}{U},Instant,,,4.0,No
Duel Decks: Ajani vs. Nicol Bolas,Malice,Uncommon,Destroy target nonblack creature. It can't be regenerated.,{3}{B},Instant,,,4.0,No
Duel Decks: Ajani vs. Nicol Bolas,Pain,Uncommon,Target player discards a card.,{B},Sorcery,,,1.0,No
Duel Decks: Ajani vs. Nicol Bolas,Suffering,Uncommon,Destroy target land.,{3}{R},Sorcery,,,4.0,No
Duel Decks: Ajani vs. Nicol Bolas,Rise,Uncommon,Return target creature card from a graveyard and target creature on the battlefield to their owners' hands.,{U}{B},Sorcery,,,2.0,No
Duel Decks: Ajani vs. Nicol Bolas,Fall,Uncommon,"Target player reveals two cards at random from his or her hand, then discards each nonland card revealed this way.",{B}{R},Sorcery,,,2.0,No
Duel Decks: Knights vs. Dragons,Lionheart Maverick,Common,"Vigilance
{4}{W}: Lionheart Maverick gets +1/+2 until end of turn.",{W},Creature,1,1,1.0,No
Duel Decks: Knights vs. Dragons,Knight of Meadowgrain,Uncommon,"First strike
Lifelink (Damage dealt by this creature also causes you to gain that much life.)",{W}{W},Creature,2,2,2.0,No
Duel Decks: Knights vs. Dragons,Leonin Skyhunter,Uncommon,Flying,{W}{W},Creature,2,2,2.0,No
Duel Decks: Knights vs. Dragons,Knotvine Paladin,Rare,"Whenever Knotvine Paladin attacks, it gets +1/+1 until end of turn for each untapped creature you control.",{G}{W},Creature,2,2,2.0,No
Duel Decks: Knights vs. Dragons,Benalish Lancer,Common,"Kicker {2}{W} (You may pay an additional {2}{W} as you cast this spell.)
If Benalish Lancer was kicked, it enters the battlefield with two +1/+1 counters on it and with first strike.",{2}{W},Creature,2,2,3.0,No
Duel Decks: Knights vs. Dragons,Zhalfirin Commander,Uncommon,"Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)
{1}{W}{W}: Target Knight creature gets +1/+1 until end of turn.",{2}{W},Creature,2,2,3.0,No
Duel Decks: Knights vs. Dragons,Kinsbaile Cavalier,Rare,Knight creatures you control have double strike.,{3}{W},Creature,2,2,4.0,No
Duel Decks: Knights vs. Dragons,Skyhunter Patrol,Common,"Flying, first strike (This creature can't be blocked except by creatures with flying or reach, and it deals combat damage before creatures without first strike.)",{2}{W}{W},Creature,2,3,4.0,No
Duel Decks: Knights vs. Dragons,Plover Knights,Common,"Flying, first strike",{3}{W}{W},Creature,3,3,5.0,No
Duel Decks: Knights vs. Dragons,Juniper Order Ranger,Uncommon,"Whenever another creature enters the battlefield under your control, put a +1/+1 counter on that creature and a +1/+1 counter on Juniper Order Ranger.",{3}{G}{W},Creature,2,4,5.0,No
Duel Decks: Knights vs. Dragons,Paladin of Prahv,Uncommon,"Whenever Paladin of Prahv deals damage, you gain that much life.
Forecast â€” {1}{W}, Reveal Paladin of Prahv from your hand: Whenever target creature deals damage this turn, you gain that much life. (Activate this ability only during your upkeep and only once each turn.)",{4}{W}{W},Creature,3,4,6.0,No
Duel Decks: Knights vs. Dragons,Harm's Way,Uncommon,The next 2 damage that a source of your choice would deal to you and/or permanents you control this turn is dealt to target creature or player instead.,{W},Instant,,,1.0,No
Duel Decks: Knights vs. Dragons,Edge of Autumn,Common,"If you control four or fewer lands, search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library.
Cyclingâ€”Sacrifice a land. (Sacrifice a land, Discard this card: Draw a card.)",{1}{G},Sorcery,,,2.0,No
Duel Decks: Knights vs. Dragons,Heroes' Reunion,Uncommon,Target player gains 7 life.,{G}{W},Instant,,,2.0,No
Duel Decks: Knights vs. Dragons,Spidersilk Armor,Common,Creatures you control get +0/+1 and have reach. (They can block creatures with flying.),{2}{G},Enchantment,,,3.0,No
Duel Decks: Knights vs. Dragons,Sejiri Steppe,Common,"Sejiri Steppe enters the battlefield tapped.
When Sejiri Steppe enters the battlefield, target creature you control gains protection from the color of your choice until end of turn.
{T}: Add {W} to your mana pool.",,Land,,,0.0,No
Duel Decks: Knights vs. Dragons,Cinder Wall,Common,"Defender
When Cinder Wall blocks, destroy it at end of combat.",{R},Creature,3,3,1.0,No
Duel Decks: Knights vs. Dragons,Bloodmark Mentor,Uncommon,Red creatures you control have first strike.,{1}{R},Creature,1,1,2.0,No
Duel Decks: Knights vs. Dragons,Fire-Belly Changeling,Common,"Changeling (This card is every creature type.)
{R}: Fire-Belly Changeling gets +1/+0 until end of turn. Activate this ability no more than twice each turn.",{1}{R},Creature,1,1,2.0,No
Duel Decks: Knights vs. Dragons,Dragonspeaker Shaman,Uncommon,Dragon spells you cast cost {2} less to cast.,{1}{R}{R},Creature,2,2,3.0,No
Duel Decks: Knights vs. Dragons,Henge Guardian,Uncommon,{2}: Henge Guardian gains trample until end of turn.,{5},Artifact,,,5.0,No
Duel Decks: Knights vs. Dragons,Voracious Dragon,Rare,"Flying
Devour 1 (As this enters the battlefield, you may sacrifice any number of creatures. This creature enters the battlefield with that many +1/+1 counters on it.)
When Voracious Dragon enters the battlefield, it deals damage to target creature or player equal to twice the number of Goblins it devoured.",{3}{R}{R},Creature,4,4,5.0,No
Duel Decks: Knights vs. Dragons,Mordant Dragon,Rare,"Flying
{1}{R}: Mordant Dragon gets +1/+0 until end of turn.
Whenever Mordant Dragon deals combat damage to a player, you may have it deal that much damage to target creature that player controls.",{3}{R}{R}{R},Creature,5,5,6.0,No
Duel Decks: Knights vs. Dragons,Kilnmouth Dragon,Rare,"Amplify 3 (As this creature enters the battlefield, put three +1/+1 counters on it for each Dragon card you reveal in your hand.)
Flying
{T}: Kilnmouth Dragon deals damage equal to the number of +1/+1 counters on it to target creature or player.",{5}{R}{R},Creature,5,5,7.0,No
Duel Decks: Knights vs. Dragons,Shivan Hellkite,Rare,"Flying (This creature can't be blocked except by creatures with flying or reach.)
{1}{R}: Shivan Hellkite deals 1 damage to target creature or player.",{5}{R}{R},Creature,5,5,7.0,No
Duel Decks: Knights vs. Dragons,Dragon's Claw,Uncommon,"Whenever a player casts a red spell, you may gain 1 life.",{2},Artifact,,,2.0,No
Duel Decks: Knights vs. Dragons,Breath of Darigaaz,Uncommon,"Kicker {2} (You may pay an additional {2} as you cast this spell.)
Breath of Darigaaz deals 1 damage to each creature without flying and each player. If Breath of Darigaaz was kicked, it deals 4 damage to each creature without flying and each player instead.",{1}{R},Sorcery,,,2.0,No
Duel Decks: Knights vs. Dragons,Punishing Fire,Uncommon,"Punishing Fire deals 2 damage to target creature or player.
Whenever an opponent gains life, you may pay {R}. If you do, return Punishing Fire from your graveyard to your hand.",{1}{R},Instant,,,2.0,No
Duel Decks: Knights vs. Dragons,Captive Flame,Uncommon,{R}: Target creature gets +1/+0 until end of turn.,{2}{R},Enchantment,,,3.0,No
Duel Decks: Knights vs. Dragons,Seething Song,Common,Add {R}{R}{R}{R}{R} to your mana pool.,{2}{R},Instant,,,3.0,No
Duel Decks: Knights vs. Dragons,Claws of Valakut,Common,"Enchant creature
Enchanted creature gets +1/+0 for each Mountain you control and has first strike.",{1}{R}{R},Enchantment,,,3.0,No
Duel Decks: Knights vs. Dragons,Temporary Insanity,Uncommon,Untap target creature with power less than the number of cards in your graveyard and gain control of it until end of turn. That creature gains haste until end of turn.,{3}{R},Instant,,,4.0,No
Duel Decks: Knights vs. Dragons,Shiv's Embrace,Uncommon,"Enchant creature
Enchanted creature gets +2/+2 and has flying.
{R}: Enchanted creature gets +1/+0 until end of turn.",{2}{R}{R},Enchantment,,,4.0,No
Duel Decks: Elspeth vs. Tezzeret,Goldmeadow Harrier,Common,"{W}, {T}: Tap target creature.",{W},Creature,1,1,1.0,No
Duel Decks: Elspeth vs. Tezzeret,Loyal Sentry,Rare,"When Loyal Sentry blocks a creature, destroy that creature and Loyal Sentry.",{W},Creature,1,1,1.0,No
Duel Decks: Elspeth vs. Tezzeret,Mosquito Guard,Common,"First strike
Reinforce 1â€”{1}{W} ({1}{W}, Discard this card: Put a +1/+1 counter on target creature.)",{W},Creature,1,1,1.0,No
Duel Decks: Elspeth vs. Tezzeret,Glory Seeker,Common,,{1}{W},Creature,2,2,2.0,No
Duel Decks: Elspeth vs. Tezzeret,Kor Aeronaut,Uncommon,"Kicker {1}{W} (You may pay an additional {1}{W} as you cast this spell.)
Flying
When Kor Aeronaut enters the battlefield, if it was kicked, target creature gains flying until end of turn.",{W}{W},Creature,2,2,2.0,No
Duel Decks: Elspeth vs. Tezzeret,Burrenton Bombardier,Common,"Flying
Reinforce 2â€”{2}{W} ({2}{W}, Discard this card: Put two +1/+1 counters on target creature.)",{2}{W},Creature,2,2,3.0,No
Duel Decks: Elspeth vs. Tezzeret,Kemba's Skyguard,Common,"Flying
When Kemba's Skyguard enters the battlefield, you gain 2 life.",{1}{W}{W},Creature,2,2,3.0,No
Duel Decks: Elspeth vs. Tezzeret,Celestial Crusader,Uncommon,"Flash (You may cast this spell any time you could cast an instant.)
Split second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)
Flying
Other white creatures get +1/+1.",{2}{W}{W},Creature,2,2,4.0,No
Duel Decks: Elspeth vs. Tezzeret,Stormfront Riders,Uncommon,"Flying
When Stormfront Riders enters the battlefield, return two creatures you control to their owner's hand.
Whenever Stormfront Riders or another creature is returned to your hand from the battlefield, create a 1/1 white Soldier creature token.",{4}{W},Creature,4,3,5.0,No
Duel Decks: Elspeth vs. Tezzeret,Catapult Master,Rare,Tap five untapped Soldiers you control: Exile target creature.,{3}{W}{W},Creature,3,3,5.0,No
Duel Decks: Elspeth vs. Tezzeret,Conclave Equenaut,Common,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Flying",{4}{W}{W},Creature,3,3,6.0,No
Duel Decks: Elspeth vs. Tezzeret,Angel of Salvation,Rare,"Flash; convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Flying
When Angel of Salvation enters the battlefield, prevent the next 5 damage that would be dealt this turn to any number of target creatures and/or players, divided as you choose.",{6}{W}{W},Creature,5,5,8.0,No
Duel Decks: Elspeth vs. Tezzeret,Journey to Nowhere,Common,"When Journey to Nowhere enters the battlefield, exile target creature.
When Journey to Nowhere leaves the battlefield, return the exiled card to the battlefield under its owner's control.",{1}{W},Enchantment,,,2.0,No
Duel Decks: Elspeth vs. Tezzeret,Razor Barrier,Common,Target permanent you control gains protection from artifacts or from the color of your choice until end of turn.,{1}{W},Instant,,,2.0,No
Duel Decks: Elspeth vs. Tezzeret,Abolish,Uncommon,"You may discard a Plains card rather than pay Abolish's mana cost.
Destroy target artifact or enchantment.",{1}{W}{W},Instant,,,3.0,No
Duel Decks: Elspeth vs. Tezzeret,Saltblast,Uncommon,Destroy target nonwhite permanent.,{3}{W}{W},Sorcery,,,5.0,No
Duel Decks: Elspeth vs. Tezzeret,Swell of Courage,Uncommon,"Creatures you control get +2/+2 until end of turn.
Reinforce Xâ€”{X}{W}{W} ({X}{W}{W}, Discard this card: Put X +1/+1 counters on target creature.)",{3}{W}{W},Instant,,,5.0,No
Duel Decks: Elspeth vs. Tezzeret,Daru Encampment,Uncommon,"{T}: Add {C} to your mana pool.
{W}, {T}: Target Soldier creature gets +1/+1 until end of turn.",,Land,,,0.0,No
Duel Decks: Elspeth vs. Tezzeret,Kabira Crossroads,Common,"Kabira Crossroads enters the battlefield tapped.
When Kabira Crossroads enters the battlefield, you gain 2 life.
{T}: Add {W} to your mana pool.",,Land,,,0.0,No
Duel Decks: Elspeth vs. Tezzeret,Rustic Clachan,Rare,"As Rustic Clachan enters the battlefield, you may reveal a Kithkin card from your hand. If you don't, Rustic Clachan enters the battlefield tapped.
{T}: Add {W} to your mana pool.
Reinforce 1â€”{1}{W} ({1}{W}, Discard this card: Put a +1/+1 counter on target creature.)",,Land,,,0.0,No
Duel Decks: Elspeth vs. Tezzeret,Steel Wall,Common,Defender (This creature can't attack.),{1},Artifact,,,1.0,No
Duel Decks: Elspeth vs. Tezzeret,Assembly-Worker,Uncommon,{T}: Target Assembly-Worker creature gets +1/+1 until end of turn.,{3},Artifact,,,3.0,No
Duel Decks: Elspeth vs. Tezzeret,Serrated Biskelion,Uncommon,{T}: Put a -1/-1 counter on Serrated Biskelion and a -1/-1 counter on target creature.,{3},Artifact,,,3.0,No
Duel Decks: Elspeth vs. Tezzeret,Trinket Mage,Common,"When Trinket Mage enters the battlefield, you may search your library for an artifact card with converted mana cost 1 or less, reveal that card, and put it into your hand. If you do, shuffle your library.",{2}{U},Creature,2,2,3.0,No
Duel Decks: Elspeth vs. Tezzeret,Clockwork Condor,Common,"Flying
Clockwork Condor enters the battlefield with three +1/+1 counters on it.
Whenever Clockwork Condor attacks or blocks, remove a +1/+1 counter from it at end of combat.",{4},Artifact,,,4.0,No
Duel Decks: Elspeth vs. Tezzeret,Synod Centurion,Uncommon,"When you control no other artifacts, sacrifice Synod Centurion.",{4},Artifact,,,4.0,No
Duel Decks: Elspeth vs. Tezzeret,Clockwork Hydra,Uncommon,"Clockwork Hydra enters the battlefield with four +1/+1 counters on it.
Whenever Clockwork Hydra attacks or blocks, remove a +1/+1 counter from it. If you do, Clockwork Hydra deals 1 damage to target creature or player.
{T}: Put a +1/+1 counter on Clockwork Hydra.",{5},Artifact,,,5.0,No
Duel Decks: Elspeth vs. Tezzeret,Razormane Masticore,Rare,"First strike (This creature deals combat damage before creatures without first strike.)
At the beginning of your upkeep, sacrifice Razormane Masticore unless you discard a card.
At the beginning of your draw step, you may have Razormane Masticore deal 3 damage to target creature.",{5},Artifact,,,5.0,No
Duel Decks: Elspeth vs. Tezzeret,Triskelion,Rare,"Triskelion enters the battlefield with three +1/+1 counters on it.
Remove a +1/+1 counter from Triskelion: Triskelion deals 1 damage to target creature or player.",{6},Artifact,,,6.0,No
Duel Decks: Elspeth vs. Tezzeret,Elixir of Immortality,Uncommon,"{2}, {T}: You gain 5 life. Shuffle Elixir of Immortality and your graveyard into their owner's library.",{1},Artifact,,,1.0,No
Duel Decks: Elspeth vs. Tezzeret,Energy Chamber,Uncommon,"At the beginning of your upkeep, choose one â€”
â€¢ Put a +1/+1 counter on target artifact creature.
â€¢ Put a charge counter on target noncreature artifact.",{2},Artifact,,,2.0,No
Duel Decks: Elspeth vs. Tezzeret,Trip Noose,Uncommon,"{2}, {T}: Tap target creature.",{2},Artifact,,,2.0,No
Duel Decks: Elspeth vs. Tezzeret,Argivian Restoration,Uncommon,Return target artifact card from your graveyard to the battlefield.,{2}{U}{U},Sorcery,,,4.0,No
Duel Decks: Elspeth vs. Tezzeret,Foil,Uncommon,"You may discard an Island card and another card rather than pay Foil's mana cost.
Counter target spell.",{2}{U}{U},Instant,,,4.0,No
Duel Decks: Elspeth vs. Tezzeret,Stalking Stones,Uncommon,"{T}: Add {C} to your mana pool.
{6}: Stalking Stones becomes a 3/3 Elemental artifact creature that's still a land. (This effect lasts indefinitely.)",,Land,,,0.0,No
Duel Decks: Phyrexia vs. the Coalition,Phyrexian Battleflies,Common,"Flying
{B}: Phyrexian Battleflies gets +1/+0 until end of turn. Activate this ability no more than twice each turn.",{B},Creature,0,1,1.0,No
Duel Decks: Phyrexia vs. the Coalition,Phyrexian Denouncer,Common,"{T}, Sacrifice Phyrexian Denouncer: Target creature gets -1/-1 until end of turn.",{1}{B},Creature,1,1,2.0,No
Duel Decks: Phyrexia vs. the Coalition,Bone Shredder,Uncommon,"Flying
Echo {2}{B} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)
When Bone Shredder enters the battlefield, destroy target nonartifact, nonblack creature.",{2}{B},Creature,1,1,3.0,No
Duel Decks: Phyrexia vs. the Coalition,Priest of Gix,Uncommon,"When Priest of Gix enters the battlefield, add {B}{B}{B} to your mana pool.",{2}{B},Creature,2,1,3.0,No
Duel Decks: Phyrexia vs. the Coalition,Phyrexian Broodlings,Common,"{1}, Sacrifice a creature: Put a +1/+1 counter on Phyrexian Broodlings.",{1}{B}{B},Creature,2,2,3.0,No
Duel Decks: Phyrexia vs. the Coalition,Sanguine Guard,Uncommon,"First strike
{1}{B}: Regenerate Sanguine Guard.",{1}{B}{B},Creature,2,2,3.0,No
Duel Decks: Phyrexia vs. the Coalition,Phyrexian Debaser,Common,"Flying
{T}, Sacrifice Phyrexian Debaser: Target creature gets -2/-2 until end of turn.",{3}{B},Creature,2,2,4.0,No
Duel Decks: Phyrexia vs. the Coalition,Order of Yawgmoth,Uncommon,"Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)
Whenever Order of Yawgmoth deals damage to a player, that player discards a card.",{2}{B}{B},Creature,2,2,4.0,No
Duel Decks: Phyrexia vs. the Coalition,Phyrexian Plaguelord,Rare,"{T}, Sacrifice Phyrexian Plaguelord: Target creature gets -4/-4 until end of turn.
Sacrifice a creature: Target creature gets -1/-1 until end of turn.",{3}{B}{B},Creature,4,4,5.0,No
Duel Decks: Phyrexia vs. the Coalition,Phyrexian Hulk,Uncommon,,{6},Artifact,,,6.0,No
Duel Decks: Phyrexia vs. the Coalition,Phyrexian Colossus,Rare,"Phyrexian Colossus doesn't untap during your untap step.
Pay 8 life: Untap Phyrexian Colossus.
Phyrexian Colossus can't be blocked except by three or more creatures.",{7},Artifact,,,7.0,No
Duel Decks: Phyrexia vs. the Coalition,Voltaic Key,Uncommon,"{1}, {T}: Untap target artifact.",{1},Artifact,,,1.0,No
Duel Decks: Phyrexia vs. the Coalition,Phyrexian Totem,Uncommon,"{T}: Add {B} to your mana pool.
{2}{B}: Phyrexian Totem becomes a 5/5 black Horror artifact creature with trample until end of turn.
Whenever Phyrexian Totem is dealt damage, if it's a creature, sacrifice that many permanents.",{3},Artifact,,,3.0,No
Duel Decks: Phyrexia vs. the Coalition,Phyrexian Vault,Uncommon,"{2}, {T}, Sacrifice a creature: Draw a card.",{3},Artifact,,,3.0,No
Duel Decks: Phyrexia vs. the Coalition,Puppet Strings,Uncommon,"{2}, {T}: You may tap or untap target creature.",{3},Artifact,,,3.0,No
Duel Decks: Phyrexia vs. the Coalition,Slay,Uncommon,"Destroy target green creature. It can't be regenerated.
Draw a card.",{2}{B},Instant,,,3.0,No
Duel Decks: Phyrexia vs. the Coalition,Hornet Cannon,Uncommon,"{3}, {T}: Create a 1/1 colorless Insect artifact creature token with flying and haste named Hornet. Destroy it at the beginning of the next end step.",{4},Artifact,,,4.0,No
Duel Decks: Phyrexia vs. the Coalition,Urza's Rage,Mythic Rare,"Kicker {8}{R} (You may pay an additional {8}{R} as you cast this spell.)
Urza's Rage can't be countered by spells or abilities.
Urza's Rage deals 3 damage to target creature or player. If Urza's Rage was kicked, instead it deals 10 damage to that creature or player and the damage can't be prevented.",{2}{R},Instant,,,3.0,No
Duel Decks: Phyrexia vs. the Coalition,Thornscape Apprentice,Common,"{R}, {T}: Target creature gains first strike until end of turn.
{W}, {T}: Tap target creature.",{G},Creature,1,1,1.0,No
Duel Decks: Phyrexia vs. the Coalition,Nomadic Elf,Common,{1}{G}: Add one mana of any color to your mana pool.,{1}{G},Creature,2,2,2.0,No
Duel Decks: Phyrexia vs. the Coalition,Quirion Elves,Common,"As Quirion Elves enters the battlefield, choose a color.
{T}: Add {G} to your mana pool.
{T}: Add one mana of the chosen color to your mana pool.",{1}{G},Creature,1,1,2.0,No
Duel Decks: Phyrexia vs. the Coalition,Sunscape Battlemage,Uncommon,"Kicker {1}{G} and/or {2}{U} (You may pay an additional {1}{G} and/or {2}{U} as you cast this spell.)
When Sunscape Battlemage enters the battlefield, if it was kicked with its {1}{G} kicker, destroy target creature with flying.
When Sunscape Battlemage enters the battlefield, if it was kicked with its {2}{U} kicker, draw two cards.",{2}{W},Creature,2,2,3.0,No
Duel Decks: Phyrexia vs. the Coalition,Thunderscape Battlemage,Uncommon,"Kicker {1}{B} and/or {G} (You may pay an additional {1}{B} and/or {G} as you cast this spell.)
When Thunderscape Battlemage enters the battlefield, if it was kicked with its {1}{B} kicker, target player discards two cards.
When Thunderscape Battlemage enters the battlefield, if it was kicked with its {G} kicker, destroy target enchantment.",{2}{R},Creature,2,2,3.0,No
Duel Decks: Phyrexia vs. the Coalition,Verduran Emissary,Uncommon,"Kicker {1}{R} (You may pay an additional {1}{R} as you cast this spell.)
When Verduran Emissary enters the battlefield, if it was kicked, destroy target artifact. It can't be regenerated.",{2}{G},Creature,2,3,3.0,No
Duel Decks: Phyrexia vs. the Coalition,Charging Troll,Uncommon,"Vigilance
{G}: Regenerate Charging Troll.",{2}{G}{W},Creature,3,3,4.0,No
Duel Decks: Phyrexia vs. the Coalition,Gerrard Capashen,Rare,"At the beginning of your upkeep, you gain 1 life for each card in target opponent's hand.
{3}{W}: Tap target creature. Activate this ability only if Gerrard Capashen is attacking.",{3}{W}{W},Creature,3,4,5.0,No
Duel Decks: Phyrexia vs. the Coalition,"Darigaaz, the Igniter",Rare,"Flying
Whenever Darigaaz, the Igniter deals combat damage to a player, you may pay {2}{R}. If you do, choose a color, then that player reveals his or her hand and Darigaaz deals damage to the player equal to the number of cards of that color revealed this way.",{3}{B}{R}{G},Creature,6,6,6.0,No
Duel Decks: Phyrexia vs. the Coalition,Evasive Action,Uncommon,Domain â€” Counter target spell unless its controller pays {1} for each basic land type among lands you control.,{1}{U},Instant,,,2.0,No
Duel Decks: Phyrexia vs. the Coalition,Gerrard's Command,Common,Untap target creature. It gets +3/+3 until end of turn.,{G}{W},Instant,,,2.0,No
Duel Decks: Phyrexia vs. the Coalition,Coalition Relic,Rare,"{T}: Add one mana of any color to your mana pool.
{T}: Put a charge counter on Coalition Relic.
At the beginning of your precombat main phase, remove all charge counters from Coalition Relic. Add one mana of any color to your mana pool for each charge counter removed this way.",{3},Artifact,,,3.0,No
Duel Decks: Phyrexia vs. the Coalition,Narrow Escape,Common,Return target permanent you control to its owner's hand. You gain 4 life.,{2}{W},Instant,,,3.0,No
Duel Decks: Phyrexia vs. the Coalition,Exotic Curse,Common,"Enchant creature
Domain â€” Enchanted creature gets -1/-1 for each basic land type among lands you control.",{2}{B},Enchantment,,,3.0,No
Duel Decks: Phyrexia vs. the Coalition,Darigaaz's Charm,Uncommon,"Choose one â€”
â€¢ Return target creature card from your graveyard to your hand.
â€¢ Darigaaz's Charm deals 3 damage to target creature or player.
â€¢ Target creature gets +3/+3 until end of turn.",{B}{R}{G},Instant,,,3.0,No
